spieltag,match_index,home,away,kt_home,kt_draw,kt_away,sharp_home,sharp_draw,sharp_away,ou_over_2_5,result,lead_minutes_to_kickoff,updated_at
1,0,Mexico,South Africa,0.91126,0.042117,0.046623,,,,0.458397,2-0,,2026-06-14T16:20:47+00:00
1,1,South Korea,Czech Republic,0.27599,0.399633,0.324377,,,,0.424629,2-1,,2026-06-14T16:20:47+00:00
1,2,Canada,Bosnien-Herzegowina,0.523286,0.198309,0.278406,,,,0.433871,1-1,,2026-06-14T16:20:47+00:00
1,3,USA,Paraguay,0.764459,0.126925,0.108616,,,,0.423017,4-1,,2026-06-14T16:20:47+00:00
1,4,Qatar,Switzerland,0.02511,0.025495,0.949395,,,,0.57613,1-1,,2026-06-14T16:20:47+00:00
1,5,Brazil,Morocco,0.845795,0.101118,0.053087,,,,0.477648,1-1,,2026-06-14T16:20:47+00:00
1,6,Haiti,Scotland,0.019387,0.054367,0.926247,,,,0.506852,0-1,,2026-06-14T16:20:47+00:00
1,7,Australia,Türkiye,0.060365,0.124946,0.814689,,,,0.470212,2-0,,2026-06-14T16:20:47+00:00
2,0,Germany,Curaçao,0.991936,0.002791,0.005273,0.944115,0.037143,0.018742,0.790698,7-1,44.1,2026-06-16T10:38:12+00:00
2,1,Netherlands,Japan,0.744707,0.170001,0.085291,0.468001,0.278577,0.253422,0.472549,2-2,171.1,2026-06-16T10:38:12+00:00
2,2,Ivory Coast,Ecuador,0.283409,0.393871,0.32272,0.288888,0.321799,0.389313,0.33787,1-0,22.8,2026-06-16T10:38:12+00:00
2,3,Sweden,Tunisia,0.817931,0.125047,0.057021,0.509788,0.282755,0.207457,0.443336,5-1,202.8,2026-06-16T10:38:12+00:00
2,4,Spain,Cape Verde,0.994289,0.00265,0.003062,0.911897,0.065908,0.022195,0.720369,0-0,263.9,2026-06-16T10:38:12+00:00
2,5,Belgium,Egypt,0.878052,0.088582,0.033366,0.644011,0.222729,0.133259,0.488491,1-1,1.8,2026-06-16T10:38:12+00:00
2,6,Saudi Arabia,Uruguay,0.045329,0.094976,0.859695,0.104796,0.210415,0.684788,0.458934,1-1,181.8,2026-06-16T10:38:12+00:00
2,7,Iran,New Zealand,0.474344,0.311796,0.21386,0.542628,0.269649,0.187723,0.4,2-2,361.8,2026-06-16T10:38:12+00:00
3,0,France,Senegal,0.970995,0.02137,0.007635,0.667338,0.206709,0.125953,0.544763,3-1,32.5,2026-06-18T12:53:03+00:00
3,1,Iraq,Norway,0.01686,0.04877,0.934371,0.060743,0.136391,0.802867,0.590468,1-4,212.5,2026-06-18T12:53:03+00:00
3,2,Argentina,Algeria,0.951675,0.037851,0.010474,0.684843,0.205858,0.109299,0.488491,3-0,392.5,2026-06-18T12:53:03+00:00
