scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-14T16:20:10+00:00,1,p07,0,Mexico,South Africa,Group A,2-0,2-0,4
2026-06-14T16:20:10+00:00,1,p02,0,Mexico,South Africa,Group A,2-0,2-1,2
2026-06-14T16:20:10+00:00,1,p08,0,Mexico,South Africa,Group A,2-0,2-0,4
2026-06-14T16:20:10+00:00,1,p05,0,Mexico,South Africa,Group A,2-0,2-0,4
2026-06-14T16:20:10+00:00,1,p01,0,Mexico,South Africa,Group A,2-0,2-1,2
2026-06-14T16:20:10+00:00,1,p11,0,Mexico,South Africa,Group A,2-0,3-1,3
2026-06-14T16:20:10+00:00,1,self,0,Mexico,South Africa,Group A,2-0,2-0,4
2026-06-14T16:20:10+00:00,1,p10,0,Mexico,South Africa,Group A,2-0,2-1,2
2026-06-14T16:20:10+00:00,1,p09,0,Mexico,South Africa,Group A,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p06,0,Mexico,South Africa,Group A,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p07,1,South Korea,Czech Republic,Group A,2-1,0-0,0
2026-06-14T16:20:10+00:00,1,p02,1,South Korea,Czech Republic,Group A,2-1,0-1,0
2026-06-14T16:20:10+00:00,1,p08,1,South Korea,Czech Republic,Group A,2-1,1-1,0
2026-06-14T16:20:10+00:00,1,p05,1,South Korea,Czech Republic,Group A,2-1,1-2,0
2026-06-14T16:20:10+00:00,1,p01,1,South Korea,Czech Republic,Group A,2-1,1-1,0
2026-06-14T16:20:10+00:00,1,p03,1,South Korea,Czech Republic,Group A,2-1,1-1,0
2026-06-14T16:20:10+00:00,1,p11,1,South Korea,Czech Republic,Group A,2-1,1-2,0
2026-06-14T16:20:10+00:00,1,self,1,South Korea,Czech Republic,Group A,2-1,0-1,0
2026-06-14T16:20:10+00:00,1,p10,1,South Korea,Czech Republic,Group A,2-1,1-1,0
2026-06-14T16:20:10+00:00,1,p09,1,South Korea,Czech Republic,Group A,2-1,1-1,0
2026-06-14T16:20:10+00:00,1,p06,1,South Korea,Czech Republic,Group A,2-1,1-2,0
2026-06-14T16:20:10+00:00,1,p07,2,Canada,Bosnien-Herzegowina,Group B,1-1,0-0,2
2026-06-14T16:20:10+00:00,1,p02,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-1,4
2026-06-14T16:20:10+00:00,1,p08,2,Canada,Bosnien-Herzegowina,Group B,1-1,2-1,0
2026-06-14T16:20:10+00:00,1,p05,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-1,4
2026-06-14T16:20:10+00:00,1,p01,2,Canada,Bosnien-Herzegowina,Group B,1-1,0-0,2
2026-06-14T16:20:10+00:00,1,p03,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-1,4
2026-06-14T16:20:10+00:00,1,p11,2,Canada,Bosnien-Herzegowina,Group B,1-1,2-1,0
2026-06-14T16:20:10+00:00,1,self,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-0,0
2026-06-14T16:20:10+00:00,1,p10,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-1,4
2026-06-14T16:20:10+00:00,1,p09,2,Canada,Bosnien-Herzegowina,Group B,1-1,2-0,0
2026-06-14T16:20:10+00:00,1,p06,2,Canada,Bosnien-Herzegowina,Group B,1-1,1-2,0
2026-06-14T16:20:10+00:00,1,p07,3,USA,Paraguay,Group D,4-1,2-1,2
2026-06-14T16:20:10+00:00,1,p02,3,USA,Paraguay,Group D,4-1,1-0,2
2026-06-14T16:20:10+00:00,1,p08,3,USA,Paraguay,Group D,4-1,2-0,2
2026-06-14T16:20:10+00:00,1,p05,3,USA,Paraguay,Group D,4-1,2-1,2
2026-06-14T16:20:10+00:00,1,p01,3,USA,Paraguay,Group D,4-1,0-2,0
2026-06-14T16:20:10+00:00,1,p03,3,USA,Paraguay,Group D,4-1,1-0,2
2026-06-14T16:20:10+00:00,1,p11,3,USA,Paraguay,Group D,4-1,3-1,2
2026-06-14T16:20:10+00:00,1,self,3,USA,Paraguay,Group D,4-1,1-0,2
2026-06-14T16:20:10+00:00,1,p10,3,USA,Paraguay,Group D,4-1,2-1,2
2026-06-14T16:20:10+00:00,1,p09,3,USA,Paraguay,Group D,4-1,2-0,2
2026-06-14T16:20:10+00:00,1,p06,3,USA,Paraguay,Group D,4-1,1-0,2
2026-06-14T16:20:10+00:00,1,p07,4,Qatar,Switzerland,Group B,1-1,0-4,0
2026-06-14T16:20:10+00:00,1,p02,4,Qatar,Switzerland,Group B,1-1,1-1,4
2026-06-14T16:20:10+00:00,1,p08,4,Qatar,Switzerland,Group B,1-1,0-2,0
2026-06-14T16:20:10+00:00,1,p05,4,Qatar,Switzerland,Group B,1-1,1-2,0
2026-06-14T16:20:10+00:00,1,p01,4,Qatar,Switzerland,Group B,1-1,0-1,0
2026-06-14T16:20:10+00:00,1,p03,4,Qatar,Switzerland,Group B,1-1,1-3,0
2026-06-14T16:20:10+00:00,1,p11,4,Qatar,Switzerland,Group B,1-1,2-3,0
2026-06-14T16:20:10+00:00,1,self,4,Qatar,Switzerland,Group B,1-1,0-2,0
2026-06-14T16:20:10+00:00,1,p10,4,Qatar,Switzerland,Group B,1-1,1-2,0
2026-06-14T16:20:10+00:00,1,p09,4,Qatar,Switzerland,Group B,1-1,0-2,0
2026-06-14T16:20:10+00:00,1,p06,4,Qatar,Switzerland,Group B,1-1,1-3,0
2026-06-14T16:20:10+00:00,1,p07,5,Brazil,Morocco,Group C,1-1,4-1,0
2026-06-14T16:20:10+00:00,1,p02,5,Brazil,Morocco,Group C,1-1,2-0,0
2026-06-14T16:20:10+00:00,1,p08,5,Brazil,Morocco,Group C,1-1,3-1,0
2026-06-14T16:20:10+00:00,1,p05,5,Brazil,Morocco,Group C,1-1,3-0,0
2026-06-14T16:20:10+00:00,1,p01,5,Brazil,Morocco,Group C,1-1,2-0,0
2026-06-14T16:20:10+00:00,1,p03,5,Brazil,Morocco,Group C,1-1,3-1,0
2026-06-14T16:20:10+00:00,1,p11,5,Brazil,Morocco,Group C,1-1,3-1,0
2026-06-14T16:20:10+00:00,1,self,5,Brazil,Morocco,Group C,1-1,2-1,0
2026-06-14T16:20:10+00:00,1,p10,5,Brazil,Morocco,Group C,1-1,2-1,0
2026-06-14T16:20:10+00:00,1,p09,5,Brazil,Morocco,Group C,1-1,3-1,0
2026-06-14T16:20:10+00:00,1,p06,5,Brazil,Morocco,Group C,1-1,2-0,0
2026-06-14T16:20:10+00:00,1,p07,6,Haiti,Scotland,Group C,0-1,0-3,2
2026-06-14T16:20:10+00:00,1,p02,6,Haiti,Scotland,Group C,0-1,0-1,4
2026-06-14T16:20:10+00:00,1,p08,6,Haiti,Scotland,Group C,0-1,0-2,2
2026-06-14T16:20:10+00:00,1,p05,6,Haiti,Scotland,Group C,0-1,1-2,3
2026-06-14T16:20:10+00:00,1,p01,6,Haiti,Scotland,Group C,0-1,0-1,4
2026-06-14T16:20:10+00:00,1,p03,6,Haiti,Scotland,Group C,0-1,1-2,3
2026-06-14T16:20:10+00:00,1,p11,6,Haiti,Scotland,Group C,0-1,1-1,0
2026-06-14T16:20:10+00:00,1,self,6,Haiti,Scotland,Group C,0-1,0-1,4
2026-06-14T16:20:10+00:00,1,p10,6,Haiti,Scotland,Group C,0-1,0-1,4
2026-06-14T16:20:10+00:00,1,p09,6,Haiti,Scotland,Group C,0-1,1-2,3
2026-06-14T16:20:10+00:00,1,p06,6,Haiti,Scotland,Group C,0-1,1-2,3
2026-06-14T16:20:10+00:00,1,p07,7,Australia,Türkiye,Group D,2-0,0-3,0
2026-06-14T16:20:10+00:00,1,p02,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p08,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p05,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p01,7,Australia,Türkiye,Group D,2-0,1-0,2
2026-06-14T16:20:10+00:00,1,p03,7,Australia,Türkiye,Group D,2-0,1-2,0
